日期,股票代码,名称,收盘价
2021-07-30,'000016,上证50,3132.8205
2021-07-29,'000016,上证50,3182.796
2021-07-28,'000016,上证50,3154.6353
2021-07-27,'000016,上证50,3126.3757
2021-07-26,'000016,上证50,3228.3698
2021-07-23,'000016,上证50,3357.447
2021-07-22,'000016,上证50,3392.7165
2021-07-21,'000016,上证50,3388.5201
2021-07-20,'000016,上证50,3378.6292
2021-07-19,'000016,上证50,3385.3664
2021-07-16,'000016,上证50,3369.8994
2021-07-15,'000016,上证50,3411.2888
2021-07-14,'000016,上证50,3339.381
2021-07-13,'000016,上证50,3391.742
2021-07-12,'000016,上证50,3384.5074
2021-07-09,'000016,上证50,3361.5946
2021-07-08,'000016,上证50,3373.2555
2021-07-07,'000016,上证50,3424.3897
2021-07-06,'000016,上证50,3405.2788
2021-07-05,'000016,上证50,3404.7907
2021-07-02,'000016,上证50,3408.2369
2021-07-01,'000016,上证50,3535.249
2021-06-30,'000016,上证50,3498.6485
2021-06-29,'000016,上证50,3482.7333
2021-06-28,'000016,上证50,3520.7434
2021-06-25,'000016,上证50,3535.0185
2021-06-24,'000016,上证50,3483.9093
2021-06-23,'000016,上证50,3471.3411
2021-06-22,'000016,上证50,3464.7057
2021-06-21,'000016,上证50,3431.2522
2021-06-18,'000016,上证50,3454.5885
2021-06-17,'000016,上证50,3481.6004
2021-06-16,'000016,上证50,3486.2876
2021-06-15,'000016,上证50,3528.6683
2021-06-11,'000016,上证50,3576.7773
2021-06-10,'000016,上证50,3607.6792
2021-06-09,'000016,上证50,3587.5321
2021-06-08,'000016,上证50,3580.2836
2021-06-07,'000016,上证50,3601.1091
2021-06-04,'000016,上证50,3612.7014
2021-06-03,'000016,上证50,3591.1561
2021-06-02,'000016,上证50,3622.3976
2021-06-01,'000016,上证50,3650.9034
2021-05-31,'000016,上证50,3650.2245
2021-05-28,'000016,上证50,3659.2957
2021-05-27,'000016,上证50,3664.9417
2021-05-26,'000016,上证50,3657.1898
2021-05-25,'000016,上证50,3641.2918
2021-05-24,'000016,上证50,3497.7469
2021-05-21,'000016,上证50,3481.8619
2021-05-20,'000016,上证50,3522.4512
2021-05-19,'000016,上证50,3511.4674
2021-05-18,'000016,上证50,3537.6963
2021-05-17,'000016,上证50,3539.9125
2021-05-14,'000016,上证50,3503.037
2021-05-13,'000016,上证50,3413.8886
2021-05-12,'000016,上证50,3447.8617
2021-05-11,'000016,上证50,3437.7135
2021-05-10,'000016,上证50,3399.9849
2021-05-07,'000016,上证50,3406.3103
2021-05-06,'000016,上证50,3449.9385
2021-04-30,'000016,上证50,3491.1877
2021-04-29,'000016,上证50,3517.2104
2021-04-28,'000016,上证50,3473.0389
2021-04-27,'000016,上证50,3476.3018
2021-04-26,'000016,上证50,3467.6605
2021-04-23,'000016,上证50,3524.0216
2021-04-22,'000016,上证50,3487.4271
2021-04-21,'000016,上证50,3516.0976
2021-04-20,'000016,上证50,3510.1239
2021-04-19,'000016,上证50,3513.3953
2021-04-16,'000016,上证50,3448.1042
2021-04-15,'000016,上证50,3431.4931
2021-04-14,'000016,上证50,3469.1727
2021-04-13,'000016,上证50,3461.4592
2021-04-12,'000016,上证50,3477.0654
2021-04-09,'000016,上证50,3514.1106
2021-04-08,'000016,上证50,3573.037
2021-04-07,'000016,上证50,3558.4688
2021-04-06,'000016,上证50,3594.7093
2021-04-02,'000016,上证50,3616.7636
2021-04-01,'000016,上证50,3582.6499
2021-03-31,'000016,上证50,3539.3696
2021-03-30,'000016,上证50,3577.2434
2021-03-29,'000016,上证50,3537.711
2021-03-26,'000016,上证50,3529.7282
2021-03-25,'000016,上证50,3463.8727
2021-03-24,'000016,上证50,3466.0422
2021-03-23,'000016,上证50,3516.3626
2021-03-22,'000016,上证50,3538.4271
2021-03-19,'000016,上证50,3512.0203
2021-03-18,'000016,上证50,3605.6047
2021-03-17,'000016,上证50,3590.8339
2021-03-16,'000016,上证50,3599.1646
2021-03-15,'000016,上证50,3566.8773
2021-03-12,'000016,上证50,3632.5784
2021-03-11,'000016,上证50,3625.3052
2021-03-10,'000016,上证50,3532.0523
2021-03-09,'000016,上证50,3509.6137
2021-03-08,'000016,上证50,3573.431
2021-03-05,'000016,上证50,3688.6818
2021-03-04,'000016,上证50,3708.6606
2021-03-03,'000016,上证50,3817.4128
2021-03-02,'000016,上证50,3718.7739
2021-03-01,'000016,上证50,3787.8695
2021-02-26,'000016,上证50,3756.8597
2021-02-25,'000016,上证50,3851.029
2021-02-24,'000016,上证50,3805.4719
2021-02-23,'000016,上证50,3897.7164
2021-02-22,'000016,上证50,3881.8681
2021-02-19,'000016,上证50,4014.4564
2021-02-18,'000016,上证50,4014.3241
2021-02-10,'000016,上证50,4028.5289
2021-02-09,'000016,上证50,3952.8276
2021-02-08,'000016,上证50,3890.4654
2021-02-05,'000016,上证50,3840.7663
2021-02-04,'000016,上证50,3801.6178
2021-02-03,'000016,上证50,3775.7224
2021-02-02,'000016,上证50,3771.47
2021-02-01,'000016,上证50,3746.3717
2021-01-29,'000016,上证50,3713.2471
2021-01-28,'000016,上证50,3735.0337
2021-01-27,'000016,上证50,3818.2682
2021-01-26,'000016,上证50,3813.2902
2021-01-25,'000016,上证50,3898.1473
2021-01-22,'000016,上证50,3846.3945
2021-01-21,'000016,上证50,3850.0559
2021-01-20,'000016,上证50,3814.6537
2021-01-19,'000016,上证50,3808.694
2021-01-18,'000016,上证50,3849.3982
2021-01-15,'000016,上证50,3817.9345
2021-01-14,'000016,上证50,3811.2242
2021-01-13,'000016,上证50,3873.2285
2021-01-12,'000016,上证50,3906.1225
2021-01-11,'000016,上证50,3776.5293
2021-01-08,'000016,上证50,3788.3191
2021-01-07,'000016,上证50,3808.0695
2021-01-06,'000016,上证50,3736.648
2021-01-05,'000016,上证50,3683.3634
2021-01-04,'000016,上证50,3643.3592
2020-12-31,'000016,上证50,3640.6389
2020-12-30,'000016,上证50,3574.1307
2020-12-29,'000016,上证50,3517.35
2020-12-28,'000016,上证50,3523.8369
2020-12-25,'000016,上证50,3512.4862
2020-12-24,'000016,上证50,3489.2742
2020-12-23,'000016,上证50,3494.5868
2020-12-22,'000016,上证50,3470.9024
2020-12-21,'000016,上证50,3522.262
2020-12-18,'000016,上证50,3507.9743
2020-12-17,'000016,上证50,3539.5401
2020-12-16,'000016,上证50,3485.4049
2020-12-15,'000016,上证50,3468.8286
2020-12-14,'000016,上证50,3467.7669
2020-12-11,'000016,上证50,3427.8565
2020-12-10,'000016,上证50,3459.0346
2020-12-09,'000016,上证50,3468.5269
2020-12-08,'000016,上证50,3499.0572
2020-12-07,'000016,上证50,3509.9419
2020-12-04,'000016,上证50,3541.5209
2020-12-03,'000016,上证50,3536.8144
2020-12-02,'000016,上证50,3545.3401
2020-12-01,'000016,上证50,3554.0139
2020-11-30,'000016,上证50,3469.4178
2020-11-27,'000016,上证50,3498.6589
2020-11-26,'000016,上证50,3445.7388
2020-11-25,'000016,上证50,3420.2916
2020-11-24,'000016,上证50,3442.7229
2020-11-23,'000016,上证50,3469.8046
2020-11-20,'000016,上证50,3411.9323
2020-11-19,'000016,上证50,3410.0937
2020-11-18,'000016,上证50,3387.0447
2020-11-17,'000016,上证50,3379.2742
2020-11-16,'000016,上证50,3377.11
